regime,comparison,reference,window,corrected_rate,reference_rate,rate_ratio,rate_difference,kinetic_crossover
GTSC_GB,corrected_vs_no_C,GTS,N175_to_160,0.015848455474308208,0.01652096943703372,0.9592933111287045,-0.0006725139627255135,True
GTSC_GB,corrected_vs_no_C,GTS,N190_to_160,0.015465013671066502,0.014742632425886434,1.0489994747418139,0.0007223812451800683,True
GTSC_GB,corrected_vs_no_C,GTS,N160_to_140,0.01019609556935823,0.008683854692204666,1.174143963798827,0.001512240877153563,False
GTSC_GB,corrected_vs_no_C,GTS,N140_to_120,0.01836056878822734,0.00935909266529628,1.9617894004093719,0.009001476122931059,False
GTSC_GB,corrected_vs_no_C,GTS,N120_to_100,0.0044148136461901535,0.010185913723616607,0.4334234282737112,-0.005771100077426454,True
GTSC_GB,corrected_vs_no_C,GTS,N100_to_80,0.009883669665229428,0.004790751573537956,2.063072883975565,0.005092918091691472,True
GTSC_GB,corrected_vs_no_C,GTS,N80_to_70,,,,,False
GTSC_GB,corrected_vs_legacy_C,LEGACY_GTSC,N190_to_175,0.019492906426663573,0.006830527118259058,2.853792407112478,0.012662379308404515,False
GTSC_GB,corrected_vs_legacy_C,LEGACY_GTSC,N175_to_160,0.015848455474308208,0.0036024060151906524,4.399408452983457,0.012246049459117555,False
GTSC_GB,corrected_vs_legacy_C,LEGACY_GTSC,N190_to_160,0.015465013671066502,0.004298783051008866,3.597532950037354,0.011166230620057636,False
GTSC_GB,corrected_vs_legacy_C,LEGACY_GTSC,N160_to_140,0.01019609556935823,0.004627627770473167,2.2033093574239,0.005568467798885063,False
GTSC_GB,corrected_vs_legacy_C,LEGACY_GTSC,N140_to_120,0.01836056878822734,0.003907068172022241,4.6993213273584065,0.014453500616205098,False
GTSC_GB,corrected_vs_legacy_C,LEGACY_GTSC,N120_to_100,0.0044148136461901535,0.012865978252472047,0.3431385907513017,-0.008451164606281893,True
GTSC_GB,corrected_vs_legacy_C,LEGACY_GTSC,N100_to_80,0.009883669665229428,,,,False
GTSC_GB,corrected_vs_legacy_C,LEGACY_GTSC,N80_to_70,,,,,False
C_GBTJ,corrected_vs_no_C,B0,N190_to_175,0.038243417893759575,0.042985451503228536,0.8896828242198922,-0.004742033609468961,False
C_GBTJ,corrected_vs_no_C,B0,N175_to_160,0.022599817182706806,0.041742838349570544,0.5414058572981374,-0.019143021166863738,False
C_GBTJ,corrected_vs_no_C,B0,N190_to_160,0.03794724074517897,0.040375975156180376,0.9398470401864798,-0.0024287344110014084,False
C_GBTJ,corrected_vs_no_C,B0,N160_to_140,0.051928139492495605,0.058391205644209666,0.8893143910900739,-0.006463066151714061,False
C_GBTJ,corrected_vs_no_C,B0,N140_to_120,0.05272086151922107,0.05888620859858689,0.8953006616304081,-0.006165347079365821,False
C_GBTJ,corrected_vs_no_C,B0,N120_to_100,0.03357900424675204,0.03702449577929127,0.9069402172799776,-0.00344549153253923,False
C_GBTJ,corrected_vs_no_C,B0,N100_to_80,0.026294082735206753,0.026904868798522264,0.9772983073104947,-0.0006107860633155111,False
C_GBTJ,corrected_vs_no_C,B0,N80_to_70,0.04407997162613332,0.046842880935946934,0.9410175195331897,-0.002762909309813613,False
C_GBTJ,corrected_vs_legacy_C,LEGACY_C,N190_to_175,0.038243417893759575,0.008108919558754644,4.71621621310459,0.03013449833500493,False
C_GBTJ,corrected_vs_legacy_C,LEGACY_C,N175_to_160,0.022599817182706806,0.004205416858354633,5.373977882313662,0.018394400324352172,False
C_GBTJ,corrected_vs_legacy_C,LEGACY_C,N190_to_160,0.03794724074517897,0.004708074602664175,8.060033866860485,0.03323916614251479,False
C_GBTJ,corrected_vs_legacy_C,LEGACY_C,N160_to_140,0.051928139492495605,0.0043902175996715555,11.82814708236341,0.04753792189282405,False
C_GBTJ,corrected_vs_legacy_C,LEGACY_C,N140_to_120,0.05272086151922107,0.0038260977463450865,13.779277220395933,0.048894763772875986,False
C_GBTJ,corrected_vs_legacy_C,LEGACY_C,N120_to_100,0.03357900424675204,0.004089985604030844,8.210054385927076,0.029489018642721194,False
C_GBTJ,corrected_vs_legacy_C,LEGACY_C,N100_to_80,0.026294082735206753,,,,False
C_GBTJ,corrected_vs_legacy_C,LEGACY_C,N80_to_70,0.04407997162613332,,,,False
GC_GBTJ,corrected_vs_no_C,G,N190_to_175,0.014296785306469266,0.017548546022659726,0.8146991373535111,-0.0032517607161904605,False
GC_GBTJ,corrected_vs_no_C,G,N175_to_160,0.025249662329845084,0.030518413718749512,0.8273582815456926,-0.005268751388904428,False
GC_GBTJ,corrected_vs_no_C,G,N190_to_160,0.025662500936422916,0.024481694496542774,1.0482322185683222,0.0011808064398801423,True
GC_GBTJ,corrected_vs_no_C,G,N160_to_140,0.019326429307839274,0.025455106513215118,0.7592358451851648,-0.006128677205375844,True
GC_GBTJ,corrected_vs_no_C,G,N140_to_120,0.05620348674276477,0.06023704946447922,0.9330385077361238,-0.00403356272171445,False
GC_GBTJ,corrected_vs_no_C,G,N120_to_100,0.02780436215267506,0.031546722335500474,0.8813708713372729,-0.0037423601828254147,False
GC_GBTJ,corrected_vs_no_C,G,N100_to_80,0.02592807946159037,0.026975842934612547,0.9611591943368785,-0.0010477634730221771,False
GC_GBTJ,corrected_vs_no_C,G,N80_to_70,0.02271402462506729,0.023058727179182573,0.9850511022817218,-0.0003447025541152837,False
GC_GBTJ,corrected_vs_legacy_C,LEGACY_GC,N190_to_175,0.014296785306469266,0.006654497937211209,2.148439362573582,0.007642287369258057,False
GC_GBTJ,corrected_vs_legacy_C,LEGACY_GC,N175_to_160,0.025249662329845084,0.004439374622495926,5.687661996781228,0.02081028770734916,False
GC_GBTJ,corrected_vs_legacy_C,LEGACY_GC,N190_to_160,0.025662500936422916,0.004855987322510432,5.284713330585056,0.020806513613912482,False
GC_GBTJ,corrected_vs_legacy_C,LEGACY_GC,N160_to_140,0.019326429307839274,0.004715095411707503,4.098841618316371,0.01461133389613177,False
GC_GBTJ,corrected_vs_legacy_C,LEGACY_GC,N140_to_120,0.05620348674276477,0.0033926449473729832,16.566274282926262,0.052810841795391784,False
GC_GBTJ,corrected_vs_legacy_C,LEGACY_GC,N120_to_100,0.02780436215267506,0.001420402781734301,19.574984300387065,0.02638395937094076,False
GC_GBTJ,corrected_vs_legacy_C,LEGACY_GC,N100_to_80,0.02592807946159037,,,,False
GC_GBTJ,corrected_vs_legacy_C,LEGACY_GC,N80_to_70,0.02271402462506729,,,,False
TC_GBTJ,corrected_vs_no_C,T,N190_to_175,0.03304269297041899,0.022381412630184408,1.476345283311402,0.010661280340234579,False
TC_GBTJ,corrected_vs_no_C,T,N175_to_160,0.0335417165395231,0.03053175256653964,1.0985847100137363,0.0030099639729834586,False
TC_GBTJ,corrected_vs_no_C,T,N190_to_160,0.0376800906336273,0.0264384119787694,1.4252024918851105,0.011241678654857902,False
TC_GBTJ,corrected_vs_no_C,T,N160_to_140,0.048143727471452534,0.02039638887288275,2.360404470198164,0.027747338598569784,False
TC_GBTJ,corrected_vs_no_C,T,N140_to_120,0.057554850599485737,0.09452811118522814,0.6088649173017625,-0.0369732605857424,True
TC_GBTJ,corrected_vs_no_C,T,N120_to_100,0.03346855952041206,0.037231340514694004,0.8989351191156576,-0.003762780994281942,False
TC_GBTJ,corrected_vs_no_C,T,N100_to_80,0.027042560843487454,0.028996998935419488,0.9325986080047507,-0.001954438091932034,False
TC_GBTJ,corrected_vs_no_C,T,N80_to_70,0.04442366156860794,0.04072176726968461,1.0909070147768174,0.0037018942989233347,True
TC_GBTJ,corrected_vs_legacy_C,LEGACY_TC,N190_to_175,0.03304269297041899,0.0077547775439727054,4.260946594928563,0.025287915426446282,False
TC_GBTJ,corrected_vs_legacy_C,LEGACY_TC,N175_to_160,0.0335417165395231,0.0041477953726763465,8.086637243601643,0.02939392116684675,False
TC_GBTJ,corrected_vs_legacy_C,LEGACY_TC,N190_to_160,0.0376800906336273,0.004485866803738397,8.399734606971782,0.0331942238298889,False
TC_GBTJ,corrected_vs_legacy_C,LEGACY_TC,N160_to_140,0.048143727471452534,0.003827530948835918,12.578272550897251,0.04431619652261662,False
TC_GBTJ,corrected_vs_legacy_C,LEGACY_TC,N140_to_120,0.057554850599485737,0.004292948898309625,13.40683338256095,0.05326190170117611,False
TC_GBTJ,corrected_vs_legacy_C,LEGACY_TC,N120_to_100,0.03346855952041206,0.006163119688550592,5.430457497456619,0.02730543983186147,False
TC_GBTJ,corrected_vs_legacy_C,LEGACY_TC,N100_to_80,0.027042560843487454,,,,False
TC_GBTJ,corrected_vs_legacy_C,LEGACY_TC,N80_to_70,0.04442366156860794,,,,False
SC_GBTJ,corrected_vs_no_C,S,N190_to_175,0.012424523119790185,0.019145035485482277,0.6489684038043037,-0.006720512365692093,False
SC_GBTJ,corrected_vs_no_C,S,N175_to_160,0.00027507345472630937,0.0007145042024380189,0.3849850760677243,-0.0004394307477117095,False
SC_GBTJ,corrected_vs_no_C,S,N190_to_160,0.0004158905904424048,0.0010087983581749814,0.4122633498281986,-0.0005929077677325767,False
SC_GBTJ,corrected_vs_no_C,S,N160_to_140,,,,,False
SC_GBTJ,corrected_vs_no_C,S,N140_to_120,,,,,False
SC_GBTJ,corrected_vs_no_C,S,N120_to_100,,,,,False
SC_GBTJ,corrected_vs_no_C,S,N100_to_80,,,,,False
SC_GBTJ,corrected_vs_no_C,S,N80_to_70,,,,,False
SC_GBTJ,corrected_vs_legacy_C,LEGACY_SC,N190_to_175,0.012424523119790185,0.007943957899320685,1.5640217731834465,0.004480565220469499,False
SC_GBTJ,corrected_vs_legacy_C,LEGACY_SC,N175_to_160,0.00027507345472630937,0.0038152021586158177,0.07209931303512052,-0.0035401287038895083,True
SC_GBTJ,corrected_vs_legacy_C,LEGACY_SC,N190_to_160,0.0004158905904424048,0.0045019251382720105,0.09238060999877877,-0.004086034547829606,False
SC_GBTJ,corrected_vs_legacy_C,LEGACY_SC,N160_to_140,,0.004342881043783907,,,False
SC_GBTJ,corrected_vs_legacy_C,LEGACY_SC,N140_to_120,,0.004078848826124403,,,False
SC_GBTJ,corrected_vs_legacy_C,LEGACY_SC,N120_to_100,,-0.0001657142590684725,,,False
SC_GBTJ,corrected_vs_legacy_C,LEGACY_SC,N100_to_80,,,,,False
SC_GBTJ,corrected_vs_legacy_C,LEGACY_SC,N80_to_70,,,,,False
GTC_GBTJ,corrected_vs_no_C,GT,N190_to_175,0.01719366571134555,0.016258710865436357,1.0575048571591719,0.0009349548459091916,False
GTC_GBTJ,corrected_vs_no_C,GT,N175_to_160,0.04493164648223396,0.022159126782155463,2.02768127661136,0.022772519700078497,False
GTC_GBTJ,corrected_vs_no_C,GT,N190_to_160,0.024740959356832837,0.019235270606463854,1.28622881700031,0.005505688750368984,False
GTC_GBTJ,corrected_vs_no_C,GT,N160_to_140,0.01798962204770847,0.019633701448579594,0.9162623815393676,-0.0016440794008711242,True
GTC_GBTJ,corrected_vs_no_C,GT,N140_to_120,0.03034074293787532,0.0332615513748726,0.9121866444508718,-0.002920808436997279,False
GTC_GBTJ,corrected_vs_no_C,GT,N120_to_100,0.01775402949827673,0.018004798095484355,0.9860721238928795,-0.00025076859720762554,False
GTC_GBTJ,corrected_vs_no_C,GT,N100_to_80,0.02073035427263415,0.026585423398665965,0.7797639316014949,-0.005855069126031814,False
GTC_GBTJ,corrected_vs_no_C,GT,N80_to_70,0.023617264483370884,0.030353297556487635,0.7780790353805559,-0.006736033073116751,False
GTC_GBTJ,corrected_vs_legacy_C,LEGACY_GTC,N190_to_175,0.01719366571134555,0.006759835998493261,2.5435033801379126,0.010433829712852288,False
GTC_GBTJ,corrected_vs_legacy_C,LEGACY_GTC,N175_to_160,0.04493164648223396,0.00397561187153839,11.301819175031127,0.04095603461069557,False
GTC_GBTJ,corrected_vs_legacy_C,LEGACY_GTC,N190_to_160,0.024740959356832837,0.004362653801508601,5.6710801458225815,0.020378305555324237,False
GTC_GBTJ,corrected_vs_legacy_C,LEGACY_GTC,N160_to_140,0.01798962204770847,0.0050774201782085885,3.543063488209391,0.01291220186949988,False
GTC_GBTJ,corrected_vs_legacy_C,LEGACY_GTC,N140_to_120,0.03034074293787532,0.003437319401863137,8.82686168804379,0.026903423536012182,False
GTC_GBTJ,corrected_vs_legacy_C,LEGACY_GTC,N120_to_100,0.01775402949827673,0.00013292128378547863,133.56799597971022,0.01762110821449125,False
GTC_GBTJ,corrected_vs_legacy_C,LEGACY_GTC,N100_to_80,0.02073035427263415,,,,False
GTC_GBTJ,corrected_vs_legacy_C,LEGACY_GTC,N80_to_70,0.023617264483370884,,,,False
GSC_GBTJ,corrected_vs_no_C,GS,N190_to_175,0.014069768886309576,0.016381838814798304,0.8588638336253099,-0.0023120699284887285,False
GSC_GBTJ,corrected_vs_no_C,GS,N175_to_160,0.020916966191835487,0.018189645712699588,1.1499380758819149,0.0027273204791358995,True
GSC_GBTJ,corrected_vs_no_C,GS,N190_to_160,0.018094858173454582,0.018210368234678708,0.9936569068930657,-0.00011551006122412569,True
GSC_GBTJ,corrected_vs_no_C,GS,N160_to_140,0.010602703075028603,0.007531318190607513,1.4078150473381257,0.00307138488442109,True
GSC_GBTJ,corrected_vs_no_C,GS,N140_to_120,0.01049195390277925,0.00966023805952685,1.0860968268201392,0.0008317158432524004,False
GSC_GBTJ,corrected_vs_no_C,GS,N120_to_100,0.006502138112740606,0.008031743692107752,0.8095549810845949,-0.0015296055793671461,True
GSC_GBTJ,corrected_vs_no_C,GS,N100_to_80,0.007061993888718469,0.005446876892426431,1.296521663365986,0.0016151169962920382,True
