case,state_index,physical_time,energy,relative_change
A2 half dt,63,0.0020049540256734,5181.138913618909,-0.010480030714251888
A2 half dt,64,0.0020367786927475806,5180.099825526551,-0.01067848098442944
A2 half dt,65,0.0020686033598217614,5179.076761962416,-0.010873870809608568
A2 half dt,66,0.0021004280268959426,5178.080060638242,-0.011064225841605732
A2 half dt,67,0.0021322526939701234,5177.074676605476,-0.01125623914096111
A2 half dt,68,0.002164077361044304,5176.049405478365,-0.011452050577620741
A2 half dt,69,0.0021959020281184854,5175.043345253942,-0.011644193019459905
A2 half dt,70,0.002227726695192666,5174.055546184926,-0.01183284785399128
A2 half dt,71,0.0022595513622668474,5173.029952761424,-0.012028720844436633
A2 half dt,72,0.0022913760293410282,5172.033204856853,-0.012219084772592278
A2 half dt,73,0.002323200696415209,5171.05683292226,-0.012405557195516732
A2 half dt,74,0.0023550253634893902,5170.059297847813,-0.012596071461334577
A2 half dt,75,0.002386850030563571,5168.999684702404,-0.012798441709378569
A2 half dt,76,0.002418674697637752,5167.967616437429,-0.012995551297615007
A2 half dt,77,0.002450499364711933,5166.998720452042,-0.013180595926158101
A2 half dt,78,0.002482324031786114,5166.026010454225,-0.013366368973978535
A2 half dt,79,0.0025141486988602946,5165.010288198579,-0.013560356719137828
A2 half dt,80,0.002545973365934476,5164.028792219501,-0.013747807757850162
A2 half dt,81,0.0025777980330086566,5162.988268862088,-0.013946532142166882
A2 half dt,82,0.0026096227000828374,5161.978399903232,-0.014139401995264981
A2 half dt,83,0.0026414473671570187,5160.90824191136,-0.014343786151123836
A2 half dt,84,0.0026732720342311994,5159.916665289347,-0.014533162441726572
A2 half dt,85,0.0027050967013053807,5158.915531327104,-0.014724364041237056
A2 half dt,86,0.0027369213683795615,5157.921292595922,-0.01491424875483854
A2 half dt,87,0.0027687460354537423,5156.944264915591,-0.015100846415382103
A2 half dt,88,0.0028005707025279235,5155.959244633267,-0.015288970543254576
A2 half dt,89,0.0028323953696021043,5154.972526293084,-0.015477418974757748
A2 half dt,90,0.002864220036676285,5153.875844833458,-0.015686868715893382
A2 half dt,91,0.0028960447037504663,5152.920114459898,-0.015869398909670807
A2 half dt,92,0.002927869370824647,5151.921534782759,-0.01606011267896476
A2 half dt,93,0.002959694037898828,5150.881735190907,-0.016258698834894333
A2 half dt,94,0.002991518704973009,5149.906216990197,-0.016445008207427683
A2 half dt,95,0.00302334337204719,5148.924222265044,-0.01663255449917418
A2 half dt,96,0.0030551680391213707,5147.893036125331,-0.016829495614691208
A2 half dt,97,0.003086992706195552,5146.840602855362,-0.01703049461401111
A2 half dt,98,0.0031188173732697327,5145.869049731427,-0.01721604671623868
A2 half dt,99,0.003150642040343914,5144.864780776062,-0.017407847052503735
A2 half dt,100,0.0031824667074180947,5143.910698760494,-0.017590062434581097
A2 half dt,101,0.0032142913744922755,5142.941197534732,-0.0177752226549752
A2 half dt,102,0.0032461160415664567,5141.796503859546,-0.0179938420105255
A2 half dt,103,0.0032779407086406375,5140.819126256693,-0.018180506501032187
A2 half dt,104,0.0033097653757148183,5139.771085005458,-0.018380666690523823
A2 half dt,105,0.0033415900427889995,5138.760147214128,-0.018573740674623657
A2 half dt,106,0.0033734147098631803,5137.788233177149,-0.018759361705839743
A2 half dt,107,0.003405239376937361,5136.700239877342,-0.018967152138514323
A2 half dt,108,0.0034370640440115423,5135.650577033758,-0.019167622027868845
A2 half dt,109,0.003468888711085723,5134.565167070836,-0.019374919081871812
A2 half dt,110,0.0035007133781599043,5133.536266902904,-0.019571423611000355
A2 half dt,111,0.003532538045234085,5132.481973721531,-0.019772777825554932
A2 half dt,112,0.003564362712308266,5131.480876356073,-0.01996397243562728
A2 half dt,113,0.003596187379382447,5130.342535414611,-0.020181378514138593
A2 half dt,114,0.003628012046456628,5129.284313780759,-0.020383483004306736
A2 half dt,115,0.0036598367135308087,5128.342739722909,-0.02056330955370781
A2 half dt,116,0.00369166138060499,5127.39882584714,-0.020743582973303663
A2 half dt,117,0.0037234860476791708,5126.402518142647,-0.020933862829834393
A2 half dt,118,0.0037553107147533515,5125.23341291869,-0.021157144425751565
A2 half dt,119,0.0037871353818275328,5124.166454965385,-0.021360917422149798
A2 half dt,120,0.0038189600489017136,5123.17094353201,-0.021551045202817424
A2 half dt,121,0.0038507847159758943,5122.184792202622,-0.021739385343747107
A2 half dt,122,0.0038826093830500756,5121.2867937588935,-0.021910889603191097
A2 half dt,123,0.003914434050124257,5120.215715374003,-0.022115449540338106
A2 half dt,124,0.003946258717198437,5119.268426456322,-0.02229636754241367
A2 half dt,125,0.003978083384272618,5118.395664754794,-0.022463051961899135
A2 half dt,126,0.0040099080513468,5117.4390107855315,-0.022645758548629186
A2 half dt,127,0.00404173271842098,5116.42454798439,-0.02283950575683242
A2 half dt,128,0.004073557385495161,5115.519299781972,-0.023012394611655086
